url_path,views_total,views_unique
/YosemiteCrew/Yosemite-Crew,193,70
/YosemiteCrew/Yosemite-Crew/pulls,76,12
/YosemiteCrew/Yosemite-Crew/issues,47,12
/YosemiteCrew/Yosemite-Crew/pull/1459,35,5
/YosemiteCrew/Yosemite-Crew/graphs/contributors,32,6
/YosemiteCrew/Yosemite-Crew/actions,20,1
/YosemiteCrew/Yosemite-Crew/actions/workflows/repo-stats.yml,20,1
/YosemiteCrew/Yosemite-Crew/blob/github-repo-stats/YosemiteCrew/Yosemite-Crew/latest-report/summary.json,18,2
/YosemiteCrew/Yosemite-Crew/pull/1463,17,3
/YosemiteCrew/Yosemite-Crew/pull/1466,17,3
