referrer,views_total,views_unique
github.com,426,43
Google,91,18
yosemitecrew.com,88,20
wellfound.com,47,20
linkedin.com,41,10
t.co,40,33
l.facebook.com,29,9
com.linkedin.android,15,6
facebook.com,11,8
lm.facebook.com,7,7
