referrer,views_total,views_unique
github.com,316,41
yosemitecrew.com,41,17
Google,36,10
linkedin.com,20,8
meetco.daily.co,19,7
com.linkedin.android,2,2
dev.yosemitecrew.com,2,1
bgithub.xyz,1,1
yandex.ru,1,1
