time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-28 00:00:00+00:00,371,250,46,8
2026-05-29 00:00:00+00:00,273,122,24,9
2026-05-30 00:00:00+00:00,354,156,56,11
2026-05-31 00:00:00+00:00,429,239,16,9
2026-06-01 00:00:00+00:00,219,163,21,9
2026-06-02 00:00:00+00:00,317,176,29,6
2026-06-03 00:00:00+00:00,284,235,11,4
2026-06-04 00:00:00+00:00,193,159,21,7
2026-06-05 00:00:00+00:00,227,156,33,8
2026-06-06 00:00:00+00:00,395,233,94,5
2026-06-07 00:00:00+00:00,305,171,65,5
2026-06-08 00:00:00+00:00,254,161,15,7
2026-06-09 00:00:00+00:00,271,187,23,6
2026-06-10 00:00:00+00:00,432,110,43,10
