referrer,views_total,views_unique
github.com,323,46
Google,58,13
yosemitecrew.com,53,21
wellfound.com,31,12
linkedin.com,27,5
meetco.daily.co,18,7
com.linkedin.android,5,4
dev.yosemitecrew.com,4,2
DuckDuckGo,2,2
com.slack,2,2
