time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-27 00:00:00+00:00,1378,101,90,15
2026-08-28 00:00:00+00:00,1513,151,31,13
2026-08-29 00:00:00+00:00,106,44,42,14
2026-08-30 00:00:00+00:00,3299,215,81,9
2026-08-31 00:00:00+00:00,1351,173,53,11
2026-09-01 00:00:00+00:00,1535,161,67,17
2026-09-02 00:00:00+00:00,4812,329,45,18
2026-09-03 00:00:00+00:00,4362,278,20,7
2026-09-04 00:00:00+00:00,1713,174,42,23
2026-09-05 00:00:00+00:00,4651,367,34,19
2026-09-06 00:00:00+00:00,7035,422,25,13
2026-09-07 00:00:00+00:00,1651,225,39,20
2026-09-08 00:00:00+00:00,9054,459,148,23
2026-09-09 00:00:00+00:00,5874,307,39,16
