referrer,views_total,views_unique
github.com,289,37
yosemitecrew.com,45,22
Google,11,8
linkedin.com,6,6
meetco.daily.co,4,3
com.linkedin.android,2,2
bgithub.xyz,1,1
yandex.ru,1,1
