referrer,views_total,views_unique
github.com,318,46
yosemitecrew.com,79,22
Google,72,14
linkedin.com,34,8
wellfound.com,31,12
meetco.daily.co,18,8
com.linkedin.android,4,3
dev.yosemitecrew.com,4,2
DuckDuckGo,2,2
com.slack,2,2
