url_path,views_total,views_unique
/YosemiteCrew/Yosemite-Crew,234,62
/YosemiteCrew/Yosemite-Crew/pulls,124,11
/YosemiteCrew/Yosemite-Crew/issues,43,11
/YosemiteCrew/Yosemite-Crew/pull/1459,40,5
/YosemiteCrew/Yosemite-Crew/actions,36,2
/YosemiteCrew/Yosemite-Crew/graphs/contributors,35,4
/YosemiteCrew/Yosemite-Crew/security/dependabot,33,2
/YosemiteCrew/Yosemite-Crew/security,32,4
/YosemiteCrew/Yosemite-Crew/blob/github-repo-stats/YosemiteCrew/Yosemite-Crew/latest-report/summary.json,32,2
/YosemiteCrew/Yosemite-Crew/pulse,24,7
