referrer,views_total,views_unique
github.com,125,28
yosemitecrew.com,55,13
Google,29,13
l.facebook.com,14,2
wellfound.com,3,2
Bing,2,1
linkedin.com,2,1
osintech.substack.com,2,1
bytedance.larkoffice.com,1,1
com.linkedin.android,1,1
