time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-09 00:00:00+00:00,271,187,23,6
2026-06-10 00:00:00+00:00,432,110,43,10
2026-06-11 00:00:00+00:00,296,141,78,14
2026-06-12 00:00:00+00:00,885,269,357,16
2026-06-13 00:00:00+00:00,265,168,39,5
2026-06-14 00:00:00+00:00,296,174,75,12
2026-06-15 00:00:00+00:00,1377,273,156,12
2026-06-16 00:00:00+00:00,1017,234,133,8
2026-06-17 00:00:00+00:00,607,193,214,10
2026-06-18 00:00:00+00:00,707,251,123,9
2026-06-19 00:00:00+00:00,902,217,187,13
2026-06-20 00:00:00+00:00,2179,265,321,9
2026-06-21 00:00:00+00:00,2244,327,634,10
2026-06-22 00:00:00+00:00,2340,283,256,10
