url_path,views_total,views_unique
/YosemiteCrew/Yosemite-Crew,110,74
/YosemiteCrew/Yosemite-Crew/issues,29,9
/YosemiteCrew/Yosemite-Crew/pull/3135,26,4
/YosemiteCrew/Yosemite-Crew/pulls,13,8
/YosemiteCrew/Yosemite-Crew/wiki,12,11
/YosemiteCrew/Yosemite-Crew/blob/main/.github/workflows/cd-frontend.yaml,8,3
/YosemiteCrew/Yosemite-Crew/pull/3135/commits,6,2
/YosemiteCrew/Yosemite-Crew/pull/3135/changes/70445ef18e8ce1da1d9aedaef488d70363bdf408..2db49ca1106264ceb2eedd5f35d427a9bd38e69a,6,1
/orgs/YosemiteCrew/discussions,5,3
/YosemiteCrew/Yosemite-Crew/releases/tag/mobile-v1.6.2,4,3
