url_path,views_total,views_unique
/YosemiteCrew/Yosemite-Crew,234,56
/YosemiteCrew/Yosemite-Crew/pulls,113,9
/YosemiteCrew/Yosemite-Crew/actions,51,2
/YosemiteCrew/Yosemite-Crew/security/dependabot,47,2
/YosemiteCrew/Yosemite-Crew/graphs/contributors,39,3
/YosemiteCrew/Yosemite-Crew/security,35,3
/YosemiteCrew/Yosemite-Crew/issues,33,8
/YosemiteCrew/Yosemite-Crew/blob/github-repo-stats/YosemiteCrew/Yosemite-Crew/latest-report/summary.json,27,2
/YosemiteCrew/Yosemite-Crew/tree/github-repo-stats/YosemiteCrew/Yosemite-Crew,23,5
/YosemiteCrew/Yosemite-Crew/security/code-scanning,23,2
