referrer,views_total,views_unique
github.com,311,41
yosemitecrew.com,83,19
Google,81,14
wellfound.com,45,18
linkedin.com,38,9
com.linkedin.android,6,5
meetco.daily.co,4,4
chatgpt.com,4,2
com.slack,3,3
DuckDuckGo,2,2
