time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-14 00:00:00+00:00,2615,475,321,13
2026-04-15 00:00:00+00:00,313,169,65,19
2026-04-16 00:00:00+00:00,218,152,51,15
2026-04-17 00:00:00+00:00,294,258,43,11
2026-04-18 00:00:00+00:00,191,156,41,7
2026-04-19 00:00:00+00:00,197,155,32,7
2026-04-20 00:00:00+00:00,558,273,120,24
2026-04-21 00:00:00+00:00,263,178,53,15
2026-04-22 00:00:00+00:00,412,197,96,10
2026-04-23 00:00:00+00:00,372,187,67,13
2026-04-24 00:00:00+00:00,305,184,36,12
2026-04-25 00:00:00+00:00,440,215,31,13
2026-04-26 00:00:00+00:00,531,445,15,4
2026-04-27 00:00:00+00:00,202,147,21,7
