url_path,views_total,views_unique
/YosemiteCrew/Yosemite-Crew,108,72
/YosemiteCrew/Yosemite-Crew/issues,28,8
/YosemiteCrew/Yosemite-Crew/pull/3135,26,4
/YosemiteCrew/Yosemite-Crew/wiki,11,10
/YosemiteCrew/Yosemite-Crew/blob/main/.github/workflows/cd-frontend.yaml,9,4
/YosemiteCrew/Yosemite-Crew/pulls,8,6
/YosemiteCrew/Yosemite-Crew/releases/tag/mobile-v1.6.2,6,4
/YosemiteCrew/Yosemite-Crew/pull/3135/commits,6,2
/YosemiteCrew/Yosemite-Crew/pull/3135/changes/70445ef18e8ce1da1d9aedaef488d70363bdf408..2db49ca1106264ceb2eedd5f35d427a9bd38e69a,6,1
/YosemiteCrew/Yosemite-Crew/graphs/contributors,5,4
