referrer,views_total,views_unique
github.com,394,39
dev.yosemitecrew.com,30,2
Google,27,7
yosemitecrew.com,18,9
t.co,8,1
linkedin.com,5,4
Bing,4,2
meetco.daily.co,4,2
com.linkedin.android,3,3
kagi.com,1,1
