time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-09 00:00:00+00:00,3212,547,152,14
2026-07-10 00:00:00+00:00,2273,238,153,22
2026-07-11 00:00:00+00:00,2615,220,208,20
2026-07-12 00:00:00+00:00,1407,400,54,14
2026-07-13 00:00:00+00:00,3050,233,102,12
2026-07-14 00:00:00+00:00,7079,276,206,16
2026-07-15 00:00:00+00:00,2722,508,168,13
2026-07-16 00:00:00+00:00,1696,210,105,18
2026-07-17 00:00:00+00:00,1903,238,194,13
2026-07-18 00:00:00+00:00,2974,567,436,27
2026-07-19 00:00:00+00:00,943,198,58,7
2026-07-20 00:00:00+00:00,3321,241,129,13
2026-07-21 00:00:00+00:00,3301,494,98,11
2026-07-22 00:00:00+00:00,2151,246,61,12
