referrer,views_total,views_unique
github.com,274,47
yosemitecrew.com,49,18
Google,36,11
linkedin.com,27,5
wellfound.com,26,7
meetco.daily.co,20,8
dev.yosemitecrew.com,4,2
DuckDuckGo,2,2
com.linkedin.android,2,2
com.slack,2,2
