referrer,views_total,views_unique
github.com,323,34
Google,42,16
t.co,40,33
l.facebook.com,38,10
yosemitecrew.com,36,8
wellfound.com,23,10
com.linkedin.android,13,5
facebook.com,12,9
lm.facebook.com,12,8
linkedin.com,10,7
