url_path,views_total,views_unique
/YosemiteCrew/Yosemite-Crew,200,69
/YosemiteCrew/Yosemite-Crew/pulls,79,11
/YosemiteCrew/Yosemite-Crew/issues,46,11
/YosemiteCrew/Yosemite-Crew/pull/1459,40,5
/YosemiteCrew/Yosemite-Crew/graphs/contributors,31,4
/YosemiteCrew/Yosemite-Crew/actions,22,2
/YosemiteCrew/Yosemite-Crew/blob/github-repo-stats/YosemiteCrew/Yosemite-Crew/latest-report/summary.json,21,2
/YosemiteCrew/Yosemite-Crew/pulse,20,7
/YosemiteCrew/Yosemite-Crew/actions/workflows/repo-stats.yml,20,1
/YosemiteCrew/Yosemite-Crew/pull/1463,17,3
