time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-18 00:00:00+00:00,271,169,40,11
2026-05-19 00:00:00+00:00,340,228,92,8
2026-05-20 00:00:00+00:00,183,151,23,12
2026-05-21 00:00:00+00:00,390,174,82,17
2026-05-22 00:00:00+00:00,307,232,8,4
2026-05-23 00:00:00+00:00,223,166,29,6
2026-05-24 00:00:00+00:00,231,169,12,4
2026-05-25 00:00:00+00:00,341,258,35,11
2026-05-26 00:00:00+00:00,386,148,33,10
2026-05-27 00:00:00+00:00,203,165,23,13
2026-05-28 00:00:00+00:00,371,250,46,8
2026-05-29 00:00:00+00:00,273,122,24,9
2026-05-30 00:00:00+00:00,354,156,56,11
2026-05-31 00:00:00+00:00,429,239,16,9
