referrer,views_total,views_unique
github.com,257,48
chatgpt.com,46,10
github-com.btglss.net,14,13
Google,10,8
linkedin.com,6,1
teams.public.onecdn.static.microsoft,3,1
Bing,1,1
unstop.com,1,1
