url_path,views_total,views_unique
/YosemiteCrew/Yosemite-Crew,229,60
/YosemiteCrew/Yosemite-Crew/pulls,122,10
/YosemiteCrew/Yosemite-Crew/pull/1459,40,5
/YosemiteCrew/Yosemite-Crew/blob/github-repo-stats/YosemiteCrew/Yosemite-Crew/latest-report/summary.json,39,2
/YosemiteCrew/Yosemite-Crew/graphs/contributors,38,4
/YosemiteCrew/Yosemite-Crew/actions,37,2
/YosemiteCrew/Yosemite-Crew/security/dependabot,34,2
/YosemiteCrew/Yosemite-Crew/security,33,4
/YosemiteCrew/Yosemite-Crew/tree/github-repo-stats/YosemiteCrew/Yosemite-Crew/latest-report,29,2
/YosemiteCrew/Yosemite-Crew/tree/github-repo-stats/YosemiteCrew/Yosemite-Crew,27,2
