referrer,views_total,views_unique
github.com,281,45
yosemitecrew.com,90,20
Google,74,15
wellfound.com,45,18
linkedin.com,43,9
com.linkedin.android,5,4
meetco.daily.co,4,4
chatgpt.com,4,2
DuckDuckGo,2,2
com.slack,2,2
