url_path,views_total,views_unique
/YosemiteCrew/Yosemite-Crew,113,80
/YosemiteCrew/Yosemite-Crew/issues,32,8
/YosemiteCrew/Yosemite-Crew/pull/3135,26,4
/YosemiteCrew/Yosemite-Crew/tree/main,17,4
/YosemiteCrew/Yosemite-Crew/pulls,16,7
/YosemiteCrew/Yosemite-Crew/wiki,12,11
/YosemiteCrew/Yosemite-Crew/tree/main/apps,12,4
/YosemiteCrew/Yosemite-Crew/tree/main/packages,9,2
/YosemiteCrew/Yosemite-Crew/tree/main/.agents/skills,8,2
/YosemiteCrew/Yosemite-Crew/blob/main/.github/workflows/cd-frontend.yaml,6,3
