url_path,views_total,views_unique
/YosemiteCrew/Yosemite-Crew,227,55
/YosemiteCrew/Yosemite-Crew/pulls,113,9
/YosemiteCrew/Yosemite-Crew/actions,53,2
/YosemiteCrew/Yosemite-Crew/security/dependabot,47,2
/YosemiteCrew/Yosemite-Crew/graphs/contributors,40,3
/YosemiteCrew/Yosemite-Crew/security,37,4
/YosemiteCrew/Yosemite-Crew/issues,35,8
/YosemiteCrew/Yosemite-Crew/blob/github-repo-stats/YosemiteCrew/Yosemite-Crew/latest-report/summary.json,32,2
/YosemiteCrew/Yosemite-Crew/tree/github-repo-stats/YosemiteCrew/Yosemite-Crew,25,5
/YosemiteCrew/Yosemite-Crew/security/code-scanning,23,2
