time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-25 00:00:00+00:00,341,258,35,11
2026-05-26 00:00:00+00:00,386,148,33,10
2026-05-27 00:00:00+00:00,203,165,23,13
2026-05-28 00:00:00+00:00,371,250,46,8
2026-05-29 00:00:00+00:00,273,122,24,9
2026-05-30 00:00:00+00:00,354,156,56,11
2026-05-31 00:00:00+00:00,429,239,16,9
2026-06-01 00:00:00+00:00,219,163,21,9
2026-06-02 00:00:00+00:00,317,176,29,6
2026-06-03 00:00:00+00:00,284,235,11,4
2026-06-04 00:00:00+00:00,193,159,21,7
2026-06-05 00:00:00+00:00,227,156,33,8
2026-06-06 00:00:00+00:00,395,233,94,5
2026-06-07 00:00:00+00:00,305,171,65,5
