url_path,views_total,views_unique
/YosemiteCrew/Yosemite-Crew,246,66
/YosemiteCrew/Yosemite-Crew/pulls,124,9
/YosemiteCrew/Yosemite-Crew/security/dependabot,50,2
/YosemiteCrew/Yosemite-Crew/actions,47,2
/YosemiteCrew/Yosemite-Crew/issues,46,13
/YosemiteCrew/Yosemite-Crew/security,36,3
/YosemiteCrew/Yosemite-Crew/graphs/contributors,32,4
/YosemiteCrew/Yosemite-Crew/security/code-scanning,25,2
/YosemiteCrew/Yosemite-Crew/tree/dev,22,4
/YosemiteCrew/Yosemite-Crew/blob/github-repo-stats/YosemiteCrew/Yosemite-Crew/latest-report/summary.json,21,2
