time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-28 00:00:00+00:00,896,200,40,9
2026-07-29 00:00:00+00:00,627,169,97,17
2026-07-30 00:00:00+00:00,1159,412,68,11
2026-07-31 00:00:00+00:00,336,164,33,7
2026-08-01 00:00:00+00:00,497,167,26,2
2026-08-02 00:00:00+00:00,3224,434,32,6
2026-08-03 00:00:00+00:00,610,155,55,11
2026-08-04 00:00:00+00:00,198,151,21,7
2026-08-05 00:00:00+00:00,480,415,22,11
2026-08-06 00:00:00+00:00,543,180,201,11
2026-08-07 00:00:00+00:00,201,156,23,7
2026-08-08 00:00:00+00:00,3117,1086,75,6
2026-08-09 00:00:00+00:00,3966,253,26,12
2026-08-10 00:00:00+00:00,593,214,7,6
