url_path,views_total,views_unique
/YosemiteCrew/Yosemite-Crew,242,59
/YosemiteCrew/Yosemite-Crew/pulls,120,8
/YosemiteCrew/Yosemite-Crew/actions,50,2
/YosemiteCrew/Yosemite-Crew/security/dependabot,47,2
/YosemiteCrew/Yosemite-Crew/graphs/contributors,39,3
/YosemiteCrew/Yosemite-Crew/issues,38,9
/YosemiteCrew/Yosemite-Crew/security,35,3
/YosemiteCrew/Yosemite-Crew/blob/github-repo-stats/YosemiteCrew/Yosemite-Crew/latest-report/summary.json,26,2
/YosemiteCrew/Yosemite-Crew/tree/dev,23,4
/YosemiteCrew/Yosemite-Crew/security/code-scanning,23,2
