url_path,views_total,views_unique
/YosemiteCrew/Yosemite-Crew,115,77
/YosemiteCrew/Yosemite-Crew/issues,33,9
/YosemiteCrew/Yosemite-Crew/pull/3135,26,4
/YosemiteCrew/Yosemite-Crew/pulls,14,6
/YosemiteCrew/Yosemite-Crew/tree/main,14,2
/YosemiteCrew/Yosemite-Crew/wiki,12,11
/YosemiteCrew/Yosemite-Crew/tree/main/apps,10,3
/YosemiteCrew/Yosemite-Crew/tree/main/packages,9,2
/YosemiteCrew/Yosemite-Crew/blob/main/.github/workflows/cd-frontend.yaml,8,3
/YosemiteCrew/Yosemite-Crew/tree/main/.agents/skills,8,2
