referrer,views_total,views_unique
github.com,193,36
l.facebook.com,45,11
t.co,40,33
yosemitecrew.com,39,10
Google,17,11
wellfound.com,16,7
facebook.com,12,9
lm.facebook.com,12,8
com.linkedin.android,11,3
linkedin.com,2,2
