referrer,views_total,views_unique
github.com,403,35
Google,92,20
yosemitecrew.com,75,15
t.co,40,33
linkedin.com,39,10
l.facebook.com,33,10
wellfound.com,21,13
com.linkedin.android,16,7
facebook.com,12,9
lm.facebook.com,12,8
