time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-11 00:00:00+00:00,1022,224,148,39
2026-05-12 00:00:00+00:00,321,178,45,13
2026-05-13 00:00:00+00:00,440,252,14,7
2026-05-14 00:00:00+00:00,215,165,27,8
2026-05-15 00:00:00+00:00,213,163,29,8
2026-05-16 00:00:00+00:00,394,233,342,14
2026-05-17 00:00:00+00:00,248,160,28,9
2026-05-18 00:00:00+00:00,271,169,40,11
2026-05-19 00:00:00+00:00,340,228,92,8
2026-05-20 00:00:00+00:00,183,151,23,12
2026-05-21 00:00:00+00:00,390,174,82,17
2026-05-22 00:00:00+00:00,307,232,8,4
2026-05-23 00:00:00+00:00,223,166,29,6
2026-05-24 00:00:00+00:00,231,169,12,4
