time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-16 00:00:00+00:00,1696,210,105,18
2026-07-17 00:00:00+00:00,1903,238,194,13
2026-07-18 00:00:00+00:00,2974,567,436,27
2026-07-19 00:00:00+00:00,943,198,58,7
2026-07-20 00:00:00+00:00,3321,241,129,13
2026-07-21 00:00:00+00:00,3301,494,98,11
2026-07-22 00:00:00+00:00,2151,246,61,12
2026-07-23 00:00:00+00:00,1116,208,135,11
2026-07-24 00:00:00+00:00,2431,465,146,16
2026-07-25 00:00:00+00:00,2674,231,206,15
2026-07-26 00:00:00+00:00,4629,226,16,9
2026-07-27 00:00:00+00:00,1424,438,54,16
2026-07-28 00:00:00+00:00,896,200,40,9
2026-07-29 00:00:00+00:00,627,169,97,17
