referrer,views_total,views_unique
github.com,288,36
yosemitecrew.com,43,17
linkedin.com,12,7
Google,11,8
meetco.daily.co,9,3
com.linkedin.android,2,2
bgithub.xyz,1,1
yandex.ru,1,1
