referrer,views_total,views_unique
github.com,421,43
Google,90,17
yosemitecrew.com,88,19
wellfound.com,46,19
linkedin.com,41,10
t.co,33,26
l.facebook.com,8,4
com.linkedin.android,7,5
lm.facebook.com,4,4
meetco.daily.co,4,4
