referrer,views_total,views_unique
github.com,337,36
l.facebook.com,43,10
yosemitecrew.com,42,10
t.co,40,33
Google,29,11
wellfound.com,15,6
facebook.com,12,9
lm.facebook.com,12,8
com.linkedin.android,12,4
linkedin.com,5,3
