time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-08 00:00:00+00:00,9054,459,148,23
2026-09-09 00:00:00+00:00,5874,307,39,16
2026-09-10 00:00:00+00:00,5965,336,27,16
2026-09-11 00:00:00+00:00,5037,300,24,19
2026-09-12 00:00:00+00:00,3553,298,69,23
2026-09-13 00:00:00+00:00,1885,186,68,20
2026-09-14 00:00:00+00:00,1663,133,35,20
2026-09-15 00:00:00+00:00,470,66,33,21
2026-09-16 00:00:00+00:00,131,37,75,48
2026-09-17 00:00:00+00:00,1401,127,32,20
2026-09-18 00:00:00+00:00,7328,407,32,18
2026-09-19 00:00:00+00:00,2777,241,17,11
2026-09-20 00:00:00+00:00,978,126,22,20
2026-09-21 00:00:00+00:00,6787,392,52,41
