time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-22 00:00:00+00:00,2151,246,61,12
2026-07-23 00:00:00+00:00,1116,208,135,11
2026-07-24 00:00:00+00:00,2431,465,146,16
2026-07-25 00:00:00+00:00,2674,231,206,15
2026-07-26 00:00:00+00:00,4629,226,16,9
2026-07-27 00:00:00+00:00,1424,438,54,16
2026-07-28 00:00:00+00:00,896,200,40,9
2026-07-29 00:00:00+00:00,627,169,97,17
2026-07-30 00:00:00+00:00,1159,412,68,11
2026-07-31 00:00:00+00:00,336,164,33,7
2026-08-01 00:00:00+00:00,497,167,26,2
2026-08-02 00:00:00+00:00,3224,434,32,6
2026-08-03 00:00:00+00:00,610,155,55,11
2026-08-04 00:00:00+00:00,198,151,21,7
