time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-31 00:00:00+00:00,1351,173,53,11
2026-09-01 00:00:00+00:00,1535,161,67,17
2026-09-02 00:00:00+00:00,4812,329,45,18
2026-09-03 00:00:00+00:00,4362,278,20,7
2026-09-04 00:00:00+00:00,1713,174,42,23
2026-09-05 00:00:00+00:00,4651,367,34,19
2026-09-06 00:00:00+00:00,7035,422,25,13
2026-09-07 00:00:00+00:00,1651,225,39,20
2026-09-08 00:00:00+00:00,9054,459,148,23
2026-09-09 00:00:00+00:00,5874,307,39,16
2026-09-10 00:00:00+00:00,5965,336,27,16
2026-09-11 00:00:00+00:00,5037,300,24,19
2026-09-12 00:00:00+00:00,3553,298,69,23
2026-09-13 00:00:00+00:00,1885,186,68,20
