url_path,views_total,views_unique
/YosemiteCrew/Yosemite-Crew,235,64
/YosemiteCrew/Yosemite-Crew/pulls,129,11
/YosemiteCrew/Yosemite-Crew/issues,44,10
/YosemiteCrew/Yosemite-Crew/pull/1459,40,5
/YosemiteCrew/Yosemite-Crew/actions,35,2
/YosemiteCrew/Yosemite-Crew/graphs/contributors,34,4
/YosemiteCrew/Yosemite-Crew/security/dependabot,34,3
/YosemiteCrew/Yosemite-Crew/security,33,5
/YosemiteCrew/Yosemite-Crew/blob/github-repo-stats/YosemiteCrew/Yosemite-Crew/latest-report/summary.json,31,2
/YosemiteCrew/Yosemite-Crew/pulse,24,7
