time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-09 00:00:00+00:00,3966,253,26,12
2026-08-10 00:00:00+00:00,593,214,7,6
2026-08-11 00:00:00+00:00,893,342,22,15
2026-08-12 00:00:00+00:00,254,153,37,13
2026-08-13 00:00:00+00:00,2591,280,42,10
2026-08-14 00:00:00+00:00,3749,449,95,13
2026-08-15 00:00:00+00:00,1967,207,83,15
2026-08-16 00:00:00+00:00,2278,237,43,12
2026-08-17 00:00:00+00:00,4007,424,73,8
2026-08-18 00:00:00+00:00,5773,309,421,14
2026-08-19 00:00:00+00:00,4115,453,337,14
2026-08-20 00:00:00+00:00,3199,401,104,10
2026-08-21 00:00:00+00:00,2455,217,102,15
2026-08-22 00:00:00+00:00,3199,287,72,15
