referrer,views_total,views_unique
github.com,169,30
yosemitecrew.com,62,11
l.facebook.com,17,3
Google,14,8
wellfound.com,14,5
lm.facebook.com,5,1
linkedin.com,3,2
search.brave.com,2,2
canva.com,1,1
chatgpt.com,1,1
