referrer,views_total,views_unique
github.com,335,42
yosemitecrew.com,40,13
Google,37,12
linkedin.com,28,8
meetco.daily.co,19,7
dev.yosemitecrew.com,4,2
com.linkedin.android,3,3
com.slack,2,2
yandex.ru,1,1
